Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
38.96.4.10,2021-08-06,839335,2487,116,187,303,308,275,1298
38.100.136.136,2021-08-06,839335,2580,141,183,301,323,338,1294
38.102.194.214,2021-08-03,839335,81567,1699,5087,11806,13563,12734,36678
38.116.192.11,2021-08-03,839335,6596,317,352,508,652,690,4077
38.119.98.220,2021-08-03,839335,125957,2327,5308,14648,17530,16847,69297
38.218.181.11,2021-08-05,839335,18525,188,427,1045,2278,3227,11360
41.157.9.4,2021-08-03,839335,2947,174,318,343,381,302,1429
41.157.9.5,2021-08-04,839335,2899,171,295,327,345,348,1413
41.160.0.36,2021-08-06,839335,3053,397,264,341,332,361,1358
41.160.0.37,2021-08-05,839335,3701,385,301,430,429,433,1723
41.204.224.2,2021-08-07,839335,43989,494,1424,4967,6651,7865,22588
41.204.224.22,2021-08-04,839335,2560,137,173,282,329,305,1334
41.204.224.131,2021-08-06,839335,56812,562,1884,6804,9238,10197,28127
41.207.160.45,2021-08-04,839335,2496,114,186,322,310,310,1254
41.207.177.17,2021-08-06,839335,2548,126,186,320,303,310,1303
41.211.233.10,2021-08-07,839335,5839,168,265,506,555,651,3694
41.221.20.4,2021-08-04,839335,3362,845,208,327,328,351,1303
43.224.255.1,2021-08-06,839335,2515,112,202,326,308,334,1233
57.67.127.195,2021-08-05,839335,2637,115,190,347,345,322,1318
57.73.127.195,2021-08-03,839335,2591,127,207,318,330,308,1301
58.6.115.42,2021-08-04,839335,4378,187,232,450,1260,634,1615
58.20.57.4,2021-08-05,839335,2572,134,186,341,315,288,1308
58.20.127.170,2021-08-07,839335,21935,909,2868,4007,3177,1780,9194
58.22.96.66,2021-08-05,839335,2714,154,215,319,351,333,1342
58.28.4.2,2021-08-05,839335,2788,143,201,323,352,342,1427
58.28.6.2,2021-08-04,839335,2670,171,205,346,336,356,1256
58.64.124.150,2021-08-06,839335,13533,1520,1621,2352,2132,1583,4325
58.69.254.3,2021-08-06,839335,2713,240,193,331,326,335,1288
58.69.254.8,2021-08-04,839335,2743,251,184,302,345,334,1327
58.147.79.9,2021-08-05,839335,3727,336,318,580,470,436,1587
59.185.0.23,2021-08-04,839335,2854,363,177,335,301,323,1355
59.185.0.50,2021-07-30,839335,2941,399,199,338,314,333,1358
59.185.3.10,2021-08-07,839335,2990,401,207,340,285,354,1403
59.185.3.12,2021-08-02,839335,2973,417,192,322,324,343,1375
60.191.134.206,2021-08-07,839335,4893,329,491,768,568,448,2289
60.191.244.2,2021-08-06,839335,3123,260,207,401,375,367,1513
60.191.244.5,2021-08-06,839335,3057,278,216,374,355,348,1486
60.234.1.1,2021-08-06,839335,2646,201,200,335,324,305,1281
61.1.96.69,2021-08-06,839335,5940,821,524,498,538,600,2959
61.1.96.71,2021-08-07,839335,9078,1278,830,744,756,903,4567
61.8.0.113,2021-08-07,839335,56371,5615,11362,5457,5379,5852,22706
61.9.133.193,2021-08-07,839335,6964,1870,1884,1192,392,328,1298
61.9.134.49,2021-08-07,839335,6949,1863,1785,1198,408,323,1372
61.9.188.33,2021-08-07,839335,4747,436,942,988,729,357,1295
61.9.194.49,2021-08-07,839335,7023,2123,2116,741,361,310,1372
61.9.195.193,2021-08-07,839335,6817,1979,2045,801,355,350,1287
61.9.207.1,2021-08-06,839335,4394,215,1019,1019,534,306,1301
61.9.211.1,2021-08-07,839335,7107,1253,1478,2000,651,306,1419
61.9.211.33,2021-08-07,839335,6887,1145,1356,2058,648,362,1318
61.9.226.33,2021-08-07,839335,7078,1301,1413,1896,688,396,1384
61.9.242.33,2021-08-07,839335,6985,506,666,3026,616,814,1357
61.10.0.130,2021-08-05,839335,32595,1876,4439,7908,7011,4468,6893
61.10.1.130,2021-08-06,839335,32595,2056,4517,8128,6833,4367,6694
61.10.1.177,2021-08-07,839335,7121,371,624,1351,1411,978,2386
61.19.251.245,2021-08-07,839335,2506,127,174,266,296,311,1332
61.19.255.134,2021-08-06,839335,13281,760,1663,1852,2094,2143,4769
61.28.10.68,2021-08-06,839335,3900,143,239,473,470,458,2117
61.31.233.1,2021-08-06,839335,47574,2597,4018,10571,9068,7451,13869
61.56.211.185,2021-08-06,839335,52696,2071,5000,12284,9456,7573,16312
61.60.224.5,2021-08-06,839335,45888,1263,4110,10136,8617,6417,15345
61.63.0.66,2021-08-05,839335,83924,3954,7927,21505,14493,9764,26281
61.74.63.1,2021-08-07,839335,2591,118,200,318,298,333,1324
61.122.116.147,2021-08-06,839335,35280,2521,2526,3862,5129,5847,15395
61.122.116.179,2021-08-06,839335,35394,2269,2471,4160,5177,5852,15465
61.128.97.73,2021-08-06,839335,2540,116,210,320,278,330,1286
61.128.97.74,2021-08-06,839335,2596,131,207,301,323,317,1317
61.128.99.133,2021-08-06,839335,2626,135,184,334,340,335,1298
61.128.99.134,2021-08-06,839335,2567,134,194,333,320,311,1275
61.128.114.133,2021-08-06,839335,2891,189,191,350,369,378,1414
61.128.114.166,2021-08-07,839335,2854,189,178,345,341,340,1461
61.128.128.66,2021-08-07,839335,2598,136,217,275,331,324,1315
61.128.128.67,2021-08-06,839335,2599,145,174,330,357,311,1282
61.128.128.68,2021-08-07,839335,2653,173,182,318,331,347,1302
61.128.192.4,2021-08-06,839335,2534,130,174,285,319,339,1287
61.128.192.68,2021-08-07,839335,2667,171,195,363,305,312,1321
61.129.64.3,2021-08-07,839335,2508,112,196,301,310,321,1268
61.129.73.196,2021-08-06,839335,2572,116,187,326,339,320,1284
61.134.1.4,2021-08-06,839335,2827,222,214,338,343,329,1381
61.135.159.46,2021-08-06,839335,27052,1487,1815,3095,3881,3968,12806
61.139.2.69,2021-08-05,839335,13830,525,863,1795,2077,2226,6344
61.139.39.73,2021-08-06,839335,12633,311,572,1485,1648,2203,6414
61.139.44.68,2021-08-06,839335,12111,311,611,1472,1753,1907,6057
61.139.54.66,2021-08-07,839335,13654,325,729,1688,1896,2210,6806
61.147.37.1,2021-08-06,839335,3611,962,287,372,327,321,1342
61.152.82.18,2021-08-06,839335,7636,697,1046,849,784,710,3550
61.163.252.30,2021-08-07,839335,11489,371,646,1361,1485,1343,6283
61.166.150.123,2021-08-07,839335,27139,548,1454,4668,4991,3658,11820
61.177.7.1,2021-08-06,839335,3632,1017,284,337,348,344,1302
61.178.40.8,2021-08-06,839335,9874,216,523,999,1142,1279,5715
61.187.91.18,2021-08-06,839335,9542,349,783,1535,1264,1311,4300
61.187.98.3,2021-08-06,839335,2397,112,187,322,304,296,1176
61.187.98.6,2021-08-05,839335,2431,109,184,288,298,316,1236
61.187.191.3,2021-08-06,839335,8970,308,638,1337,1255,1209,4223
61.195.194.26,2021-08-05,839335,2333,108,159,307,303,285,1171
61.195.195.153,2021-08-05,839335,2267,126,167,298,275,293,1108
61.218.2.2,2021-08-06,839335,2450,111,183,270,338,312,1236
61.220.4.22,2021-08-07,839335,24002,551,1284,2548,3943,4437,11239
61.220.4.27,2021-08-05,839335,24164,521,1213,2579,3992,4481,11378
61.220.4.40,2021-08-07,839335,24219,556,1252,2684,3903,4523,11301
61.220.4.73,2021-08-07,839335,24079,512,1254,2604,3914,4466,11329
61.220.4.118,2021-08-07,839335,23635,512,1209,2603,3844,4375,11092
61.232.202.158,2021-08-04,839335,2375,111,189,314,273,277,1211
61.234.254.5,2021-08-06,839335,14278,329,786,1733,2082,2507,6841
61.234.254.6,2021-08-05,839335,14822,310,769,1863,2162,2620,7098
61.235.70.98,2021-08-06,839335,3135,208,259,426,412,386,1444
61.236.93.33,2021-08-07,839335,20616,286,664,1715,2346,2775,12830
61.236.93.34,2021-08-07,839335,19017,250,611,1598,2192,2703,11663
61.247.0.8,2021-08-07,839335,6978,1521,1182,1189,600,602,1884
